# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Dec 28 12:14:09 UTC 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.050386 0.60000 10.00000 0.1000000015 1.1711064122    0.100 -3.264  3.3644  5.111    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.03e-17      0.00 6.062e-01 3.424e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 12.929 15.113 17.866 13.616
0.050386 0.60000 10.00000 0.1165900603 1.2964175800    0.117 -3.084  3.3838  5.076    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.8e-17      0.00 6.057e-01 3.429e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 12.480 14.662 17.403 13.167
0.050386 0.60000 10.00000 0.1199999973 1.3193154249    0.120 -3.050  3.3875  5.069    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.44e-17      0.00 6.056e-01 3.430e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 12.396 14.578 17.317 13.082
0.050386 0.60000 10.00000 0.1400000006 1.4384526719    0.140 -2.888  3.4034  5.037    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.76e-18      0.00 6.051e-01 3.435e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 11.989 14.170 16.898 12.675
0.050386 0.60000 10.00000 0.1599999964 1.5372931554    0.160 -2.755  3.4154  5.011    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-16      0.00 6.047e-01 3.440e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 11.658 13.835 16.551 12.342
0.050386 0.60000 10.00000 0.2000000030 1.6938790862    0.200 -2.538  3.4346  4.967    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.67e-16      0.00 6.038e-01 3.448e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 11.115 13.039 15.454 11.604
0.050386 0.60000 10.00000 0.2500000000 1.8403257998    0.250 -2.315  3.4541  4.920    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-18      0.00 6.032e-01 3.454e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 10.559 12.222 14.343 10.850
0.050386 0.60000 10.00000 0.3000000417 1.9529140366    0.300 -2.144  3.4670  4.879    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.98e-16      0.00 6.030e-01 3.455e-01 9.240e-03 2.493e-03 2.261e-02 -1.000 5.142e-02 10.130 11.637 13.585 10.307
0.050386 0.60000 10.00000 0.3499999940 2.0434174644    0.350 -1.992  3.4789  4.842    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.2e-16      0.00 6.073e-01 3.413e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 9.750 11.129 12.938 9.834
0.050386 0.60000 10.00000 0.3611406684 2.0613079100    0.361 -1.958  3.4822  4.834    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.82e-16      0.00 6.074e-01 3.412e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 9.664 11.009 12.782 9.724
0.050386 0.60000 10.00000 0.4000000060 2.1185024399    0.400 -1.845  3.4929  4.809    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-15      0.00 6.076e-01 3.410e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 9.383 10.626 12.291 9.373
0.050386 0.60000 10.00000 0.4499999881 2.1822809009    0.450 -1.699  3.5072  4.771    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-15      0.00 6.076e-01 3.410e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 9.018 10.150 11.702 8.932
0.050386 0.60000 10.00000 0.4952013791 2.2324763503    0.495 -1.562  3.5220  4.735    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-15      0.00 6.077e-01 3.409e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 8.675 9.700 11.142 8.519
0.050386 0.60000 10.00000 0.5000000596 2.2374542144    0.500 -1.548  3.5235  4.731    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-15      0.00 6.077e-01 3.409e-01 9.241e-03 2.493e-03 2.261e-02 -1.000 5.139e-02 8.641 9.656 11.090 8.478
